Date,Time(UT),Lat,Long,Depth,Mag,Region and Comment
5/15/10,13:15:38,71.92,-74.6,18.0g ,3.5MN ,144 km SE from Pond Inlet
5/15/10,9:35:23,51.3,-131.38,10.0g ,3.0Mw ,219 km SSE of Sandspit
5/14/10,4:40:49,61.2,-59.09,18.0g ,3.8ML ,LABRADOR SEA SEISMIC ZONE. 
5/13/10,11:20:15,50.44,-130.05,10.0g ,3.0Mw ,188 km W of Pt. Hardy
5/13/10,0:28:00,50.4,-130.14,10.0g ,3.2Mw ,195 km W of Pt. Hardy
5/11/10,11:37:24,67.3,-92.06,18.0g ,3.1MN ,167 km SW from Kugaaruk
5/11/10,3:31:48,64.56,-134.59,1.0g ,3.2ML ,239 km E of Dawson
5/9/10,7:07:14,66.28,-135.21,20.0g ,3.1ML ,134 km SW of Fort McPherson
5/8/10,10:52:13,50.51,-130.39,10.0g ,3.8Mw ,210 km W of Pt. Hardy
5/8/10,10:42:24,50.67,-130.21,10.0g ,3.6Mw ,196 km W of Pt. Hardy
5/8/10,2:00:03,49.12,-127.96,10.0g ,3.0Mw ,149 km WSW of Gold R.
5/6/10,23:12:29,48.04,-128.19,10.0g ,4.5Mw ,208 km WSW of Tofino
5/6/10,15:34:49,74.5,-93.52,18.0g ,4.2MN ,45 km SE from Resolute
5/6/10,11:37:59,50.03,-130.15,10.0g ,3.3Mw ,207 km WSW of Pt. Hardy
5/6/10,2:03:49,68.53,-67.78,18.0g ,3.6MN ,191 km NW from Qikiqtarjuaq
5/5/10,22:19:18,47.58,-70.09,19.1* ,3.1MN ,CHARLEVOIX SEISMIC ZONE
5/5/10,1:34:13,50.97,-130.64,10.0g ,3.1Mw ,218 km WSW of Bella Bella
5/4/10,23:38:01,50.42,-130.1,10.0g ,3.3Mw ,192 km W of Pt. Hardy
5/4/10,23:38:36,50.44,-130.05,10.0g ,3.4Mw ,188 km W of Pt. Hardy
5/4/10,23:31:55,50.41,-130.1,10.0g ,3.7Mw ,192 km W of Pt. Hardy
5/4/10,22:56:22,50.45,-130.07,10.0g ,3.1Mw ,189 km W of Pt. Hardy
5/4/10,2:54:15,50.98,-130.65,10.0g ,3.1Mw ,218 km WSW of Bella Bella
5/3/10,8:49:25,48.97,-129.15,10.0g ,3.3Mw ,229 km SW of Pt. Hardy
5/2/10,9:44:58,49.45,-129.51,10.0g ,3.0Mw ,204 km WSW of Pt. Hardy
4/30/10,8:40:55,49.03,-129.04,10.0g ,3.0Mw ,219 km SW of Pt. Hardy
4/30/10,5:43:13,49.09,-127.95,10.0g ,3.0Mw ,148 km W of Tofino
4/28/10,18:01:32,71.92,-65.99,5.0g ,4.4Mw ,BAFFIN BAY SEISMIC ZONE. 
4/27/10,12:13:58,50.67,-130.5,10.0g ,3.5Mw ,217 km W of Pt. Hardy
4/27/10,9:06:03,48.93,-128.92,10.0g ,3.3Mw ,220 km W of Tofino
4/27/10,0:18:36,48.99,-129.84,10.0g ,3.6Mw ,258 km SW of Pt. Hardy
4/26/10,12:50:15,49.02,-129.6,10.0g ,3.4Mw ,243 km SW of Pt. Hardy
4/26/10,7:24:08,50.64,-130.37,10.0g ,3.2Mw ,208 km W of Pt. Hardy
4/26/10,6:41:13,69.43,-53.9,18.0g ,3.0ML ,Greenland west coast. 
4/26/10,5:09:15,48.71,-129.03,10.0g ,3.3Mw ,233 km W of Tofino
4/25/10,7:51:04,51.37,-130.34,10.0g ,3.0Mw ,176 km WSW of Bella Bella
4/25/10,3:08:19,51.86,-131.59,10.0g ,3.8Mw ,155 km S of Sandspit
4/25/10,2:00:39,41.77,-81.1,5.0g ,3.0MN ,South shore Lake Erie. 
4/24/10,7:08:54,47.06,-71.08,22.5g ,3.3MN ,11 km NW from Chateau-Richer
4/24/10,2:20:33,50.53,-130.21,10.0g ,3.3Mw ,198 km W of Pt. Hardy
4/22/10,14:56:40,48.86,-128.55,10.0g ,3.1Mw ,195 km W of Tofino
4/22/10,1:47:29,66.05,-91.63,18.0g ,3.3MN ,Wager Bay region
4/21/10,2:39:15,48.75,-128.3,10.0g ,3.1Mw ,180 km W of Tofino
4/20/10,11:34:37,48.87,-128.97,10.0g ,3.3Mw ,224 km W of Tofino
4/20/10,9:12:55,75.35,-73.4,18.0g ,3.4ML ,Baffin Bay. 
4/20/10,1:37:02,49.1,-127.94,10.0g ,3.2Mw ,147 km W of Tofino
4/20/10,1:27:46,71.13,-66.46,18.0g ,3.4ML ,BAFFIN BAY SEISMIC ZONE. 
4/19/10,23:19:15,59.31,-137.47,10.0g ,3.2ML ,115 km E of Yakutat
4/19/10,21:27:52,74.83,-89.43,18.0g ,3.4MN ,159 km E from Resolute
4/17/10,19:28:07,74.2,-74.16,18.0g ,3.4ML ,BAFFIN BAY SEISMIC ZONE. 
4/17/10,7:02:59,50.45,-130.21,10.0g ,3.2Mw ,199 km W of Pt. Hardy
4/16/10,9:44:14,49.07,-127.98,10.0g ,3.6Mw ,150 km W of Tofino
4/15/10,22:04:56,70.19,-61.98,18.0g ,3.2ML ,Baffin Bay. 
4/15/10,17:06:29,45.53,-72.41,18.0g ,3.0MN ,18 km SE from Acton Vale
4/15/10,16:53:25,71.58,-67.21,18.0g ,3.3ML ,134 km N from Clyde River
4/15/10,16:35:10,71.65,-66.82,18.0g ,5.1ML ,BAFFIN BAY SEISMIC ZONE. 
4/15/10,12:51:28,59.54,-138.89,1.0g ,3.2ML ,44 km ENE of Yakutat
4/14/10,16:05:13,51.28,-130.89,10.0g ,3.2Mw ,213 km WSW of Bella Bella
4/14/10,10:55:22,49.07,-127.97,10.0g ,3.0Mw ,149 km W of Tofino
4/14/10,9:12:35,49.06,-127.97,10.0g ,3.0Mw ,150 km W of Tofino
4/13/10,22:02:07,76.99,-120.84,18.0g ,4.1ML ,94 km NW from Mould Bay
4/13/10,19:44:54,50.6,-130.38,10.0g ,3.0Mw ,209 km W of Pt. Hardy
4/13/10,11:41:56,48.85,-130.16,10.0g ,3.4Mw ,284 km SW of Pt. Hardy
4/13/10,4:57:01,65.02,-134.3,1.0g ,3.0ML ,267 km E of Dawson
4/12/10,23:24:59,72.66,-90.31,18.0g ,3.1MN ,152 km NE from Fort Ross
4/12/10,3:13:23,50.06,-130.26,10.0g ,3.1Mw ,214 km WSW of Pt. Hardy
4/12/10,1:47:59,66.09,-91.46,5.0g ,3.3MN ,Wager Bay region
4/11/10,12:26:21,63.61,-127.49,1.0g ,3.0ML ,194 km SSW of Norman Wells
4/9/10,23:34:37,51.21,-131.08,10.0g ,3.1Mw ,230 km WSW of Bella Bella
4/9/10,19:32:13,67.62,-53.46,18.0g ,3.0ML ,West coast of Greenland. 
4/9/10,18:12:16,50.23,-130.14,10.0g ,3.2Mw ,199 km W of Pt. Hardy
4/8/10,7:14:14,70.83,-132.6,35.0g ,4.4Mw ,283 km NNE of Inuvik
4/7/10,10:58:02,64.49,-130.3,1.0g ,3.2ML ,191 km WSW of Norman Wells
4/6/10,20:38:20,51.34,-130.7,10.0g ,3.4Mw ,199 km WSW of Bella Bella
4/6/10,16:21:09,50.89,-130.72,10.0g ,3.2Mw ,228 km WSW of Bella Bella
4/6/10,8:54:40,55.27,-134.04,10.0g ,3.6ML ,185 km WNW of Masset
4/5/10,10:12:17,47.91,-128.34,10.0g ,3.4Mw ,226 km WSW of Tofino
4/5/10,0:41:46,50.6,-130.46,10.0g ,3.5Mw ,214 km W of Pt. Hardy
4/4/10,5:53:24,50.62,-130.38,10.0g ,3.3Mw ,209 km W of Pt. Hardy
4/4/10,4:12:32,75.2,-73.58,18.0g ,3.4ML ,BAFFIN BAY SEISMIC ZONE. 
4/3/10,17:38:38,78.85,-93.28,18.0g ,3.3ML ,197 km SW from Eureka
4/2/10,19:11:47,50.56,-130.26,10.0g ,3.7Mw ,201 km W of Pt. Hardy
4/2/10,7:55:59,67.97,-67.05,18.0g ,3.3MN ,136 km W from Qikiqtarjuaq
4/2/10,5:33:42,50.67,-130.43,10.0g ,3.4Mw ,212 km W of Pt. Hardy
4/1/10,11:15:42,62.64,-125.14,1.0g ,3.0ML ,224 km WNW of Fort Simpson
4/1/10,1:03:57,62.32,-124.62,20.0g ,3.1ML ,186 km W of Fort Simpson
3/31/10,22:38:28,50.14,-130.4,10.0g ,3.5Mw ,220 km W of Pt. Hardy
3/31/10,16:31:23,51.44,-130.55,10.0g ,3.2Mw ,185 km WSW of Bella Bella
3/31/10,10:28:03,51.34,-130.5,10.0g ,3.2Mw ,187 km WSW of Bella Bella
3/31/10,8:36:40,51.29,-130.65,10.0g ,3.2Mw ,199 km WSW of Bella Bella
3/31/10,3:03:46,53.4,-135.04,10.0g ,3.5ML ,202 km WSW of Masset
3/31/10,2:00:49,51.43,-130.94,10.0g ,3.5Mw ,210 km WSW of Bella Bella
3/31/10,0:56:14,50.5,-130.21,10.0g ,3.2Mw ,198 km W of Pt. Hardy
3/30/10,20:42:17,44.58,-68.83,5.0g ,3.0MN ,Maine
3/30/10,6:24:05,51.38,-130.53,10.0g ,3.5Mw ,187 km WSW of Bella Bella
3/30/10,4:31:18,51.45,-130.74,10.0g ,3.2Mw ,196 km WSW of Bella Bella
3/30/10,1:51:45,51.38,-130.7,10.0g ,3.3Mw ,197 km WSW of Bella Bella
3/29/10,21:27:12,47,-120.96,4.2g ,3.5ML ,123 km ESE of Seattle
3/29/10,19:30:29,51.4,-130.72,10.0g ,3.6Mw ,198 km WSW of Bella Bella
3/29/10,18:23:49,51.37,-130.63,10.0g ,3.4Mw ,193 km WSW of Bella Bella
3/29/10,18:14:05,51.34,-130.86,10.0g ,3.4Mw ,209 km WSW of Bella Bella
3/29/10,18:00:03,51.28,-130.63,10.0g ,3.4Mw ,198 km WSW of Bella Bella
3/29/10,17:50:00,51.37,-130.68,10.0g ,3.3Mw ,196 km WSW of Bella Bella
3/29/10,11:38:07,51.26,-130.83,10.0g ,4.7Mw ,211 km WSW of Bella Bella
3/29/10,11:09:54,51.33,-130.66,10.0g ,3.7Mw ,197 km WSW of Bella Bella
3/29/10,4:10:28,64.67,-134.89,1.0g ,3.0ML ,228 km E of Dawson
3/29/10,1:07:28,66.45,-135.56,20.0g ,3.1ML ,120 km SW of Fort McPherson
3/29/10,0:31:53,51.34,-130.47,10.0g ,3.5Mw ,185 km WSW of Bella Bella
3/29/10,0:04:13,51.32,-130.51,10.0g ,3.4Mw ,188 km WSW of Bella Bella
3/28/10,17:21:49,51.34,-130.44,10.0g ,3.4Mw ,183 km WSW of Bella Bella
3/28/10,17:03:00,51.44,-130.54,10.0g ,3.3Mw ,184 km WSW of Bella Bella
3/28/10,15:57:03,51.39,-130.73,10.0g ,3.5Mw ,198 km WSW of Bella Bella
3/28/10,14:56:00,51.28,-130.84,10.0g ,3.9Mw ,211 km WSW of Bella Bella
3/28/10,14:47:38,51.24,-130.78,10.0g ,3.6Mw ,209 km WSW of Bella Bella
3/28/10,14:40:17,51.23,-130.65,10.0g ,3.6Mw ,202 km WSW of Bella Bella
3/28/10,14:26:49,51.22,-130.9,10.0g ,4.5Mw ,218 km WSW of Bella Bella
3/26/10,20:11:33,49.18,-129.95,10.0g ,3.0Mw ,248 km WSW of Pt. Hardy
3/25/10,23:17:10,60.41,-67,18.0g ,3.3MN ,120 km W from Killiniq
3/25/10,22:55:13,50.73,-130.5,10.0g ,3.0Mw ,217 km W of Pt. Hardy
3/25/10,13:03:08,60.33,-57.94,18.0g ,3.0ML ,LABRADOR SEA SEISMIC ZONE. 
3/25/10,10:34:24,58.22,-54.65,18.0g ,3.2ML ,LABRADOR SEA SEISMIC ZONE. 
3/25/10,6:20:20,48.53,-127.76,10.0g ,3.2Mw ,151 km WSW of Tofino
3/24/10,13:43:25,61.38,-126.4,1.0g ,3.0ML ,192 km ENE of Watson Lk.
3/24/10,4:58:02,78.07,-93.32,18.0g ,3.0ML ,240 km E from Isachsen
3/24/10,1:17:07,62.59,-124.72,5.0g ,3.3ML ,202 km WNW of Fort Simpson
3/23/10,18:06:09,49.08,-129.76,10.0g ,3.1Mw ,246 km SW of Pt. Hardy
3/23/10,15:11:17,49.03,-129.74,10.0g ,3.1Mw ,250 km SW of Pt. Hardy
3/23/10,0:12:38,51.37,-131.21,10.0g ,3.1Mw ,213 km SSE of Sandspit
3/22/10,4:24:14,47.53,-82.61,5.0g ,3.1MN ,70 km SE from Chapleau
3/20/10,14:30:26,50.75,-130.53,10.0g ,3.0Mw ,219 km W of Pt. Hardy
3/19/10,12:33:53,47.25,-112.38,21.4* ,3.0ML ,274 km S of Lethbridge
3/17/10,18:23:44,49.49,-128.61,10.0g ,3.2Mw ,159 km SW of Pt. Hardy
3/17/10,16:43:57,58.77,-136.64,1.0g ,3.8ML ,89 km WSW of Haines
3/16/10,1:38:31,48.79,-129.27,10.0g ,3.9Mw ,247 km W of Tofino
3/14/10,13:37:24,48.72,-129.17,10.0g ,3.8Mw ,242 km W of Tofino
3/13/10,10:55:43,48.99,-128.32,10.0g ,3.2Mw ,175 km W of Tofino
3/11/10,3:14:12,64.93,-134.15,1.0g ,3.2ML ,270 km E of Dawson
3/10/10,23:57:58,64.6,-138.38,1.0g ,3.2ML ,77 km ENE of Dawson
3/10/10,22:25:43,51.39,-130.77,10.0g ,3.5Mw ,201 km WSW of Bella Bella
3/10/10,17:49:38,50.5,-130.11,10.0g ,3.2Mw ,191 km W of Pt. Hardy
3/10/10,17:01:53,50.49,-130.06,10.0g ,3.3Mw ,188 km W of Pt. Hardy
3/10/10,13:09:04,45.73,-74.45,17.5g ,3.3MN ,4 km N from Brownsburg-Chatham
3/10/10,6:41:18,47.69,-70.1,10.4* ,3.1MN ,5 km NE from La Malbaie
3/9/10,20:50:54,65.23,-134.71,10.0g ,3.1ML ,246 km S of Fort McPherson
3/9/10,20:39:04,66.19,-141.69,5.0g ,3.1ML ,260 km NW of Dawson
3/8/10,7:11:46,49.44,-129.53,10.0g ,3.0Mw ,206 km WSW of Pt. Hardy
3/7/10,21:14:53,49.44,-129.46,10.0g ,3.5Mw ,202 km WSW of Pt. Hardy
3/6/10,23:44:58,51.39,-131,10.0g ,3.2Mw ,214 km SSE of Sandspit
3/6/10,15:09:24,45.97,-75.38,18.0g ,3.2MN ,16 km NE from Val-des-Bois
3/6/10,13:18:02,47.05,-70.92,18.0g ,3.2MN ,Beaupre
3/6/10,6:04:15,63.41,-145.19,15.0g ,3.0ML ,200 km ESE of Fairbanks
3/6/10,5:24:19,50.56,-130.34,10.0g ,3.0Mw ,206 km W of Pt. Hardy
3/5/10,17:17:32,66.41,-135.6,10.0g ,3.1ML ,125 km SW of Fort McPherson
3/5/10,11:04:53,66.17,-121.6,10.0g ,3.7ML ,253 km E of Norman Wells
3/5/10,9:23:30,67.59,-124.5,1.0g ,3.4ML ,271 km NE of Norman Wells
3/4/10,23:08:22,48.85,-128.9,10.0g ,3.3Mw ,220 km W of Tofino
3/4/10,22:29:14,51.13,-130.66,10.0g ,4.4Mw ,209 km WSW of Bella Bella
3/4/10,16:59:21,50.66,-130.39,10.0g ,3.0Mw ,209 km W of Pt. Hardy
3/2/10,19:03:34,77.71,-92.48,18.0g ,3.3MN ,280 km E from Isachsen
3/1/10,15:51:37,63.22,-144.28,1.0g ,3.0ML ,245 km ESE of Fairbanks
2/28/10,3:51:24,45.72,-74.46,17.5g ,3.9MN ,6 km NW from Brownsburg-Chatham
2/26/10,16:36:44,63.64,-131.82,5.0g ,3.1ML ,307 km WSW of Norman Wells
2/25/10,22:13:16,41.35,-83.41,5.0g ,3.0MN ,Ohio
2/25/10,14:01:25,62.07,-140.86,30.0g ,4.0Mw ,230 km WNW of Haines Jct.
2/25/10,7:45:29,49.26,-129.93,10.0g ,3.4Mw ,240 km WSW of Pt. Hardy
2/24/10,4:12:19,62.65,-125.08,1.0g ,3.6Mw ,221 km WNW of Fort Simpson
2/23/10,21:00:16,50.59,-130.36,10.0g ,3.3Mw ,208 km W of Pt. Hardy
2/23/10,0:53:42,60.05,-141.21,1.0g ,3.1ML ,128 km WNW of Yakutat
2/22/10,19:30:12,51.31,-131.26,10.0g ,3.1Mw ,218 km SSE of Sandspit
2/22/10,7:59:49,50.58,-130.41,10.0g ,3.8Mw ,211 km W of Pt. Hardy
2/21/10,19:14:53,74.36,-86.07,18.0g ,3.6MN ,112 km W from Dundas Harbour
2/20/10,18:24:03,66.43,-135.82,20.0g ,3.0ML ,128 km SW of Fort McPherson
2/20/10,10:05:09,48.32,-123.2,46.0* ,3.0ML ,17 km ESE of Victoria
2/20/10,5:53:35,48.75,-128.32,10.0g ,3.0Mw ,181 km W of Tofino
2/20/10,0:26:23,48.76,-128.34,10.0g ,3.1Mw ,182 km W of Tofino
2/19/10,7:18:07,66.32,-141.14,1.0g ,4.3Mw ,263 km NW of Dawson
2/18/10,14:51:18,60.82,-59.54,18.0g ,3.3ML ,LABRADOR SEA SEISMIC ZONE. 
2/17/10,23:03:58,51.93,-131.48,20.0g ,3.0ML ,148 km SSE of Sandspit
2/16/10,19:55:40,50.48,-130.26,10.0g ,3.2Mw ,202 km W of Pt. Hardy
2/15/10,17:29:12,58.87,-137.6,1.0g ,4.5Mw ,117 km ESE of Yakutat
2/15/10,2:19:47,75.18,-74.88,18.0g ,3.5ML ,BAFFIN BAY SEISMIC ZONE. 
2/15/10,0:11:45,50.57,-130.37,10.0g ,3.7Mw ,208 km W of Pt. Hardy
2/14/10,8:18:15,61.26,-139.55,1.0g ,3.0ML ,122 km WNW of Haines Jct.
2/14/10,1:07:27,65.05,-133.51,1.0g ,3.1ML ,269 km SSE of Fort McPherson
2/13/10,4:23:21,66.33,-142,10.0g ,3.3ML ,280 km NW of Dawson
2/13/10,3:42:23,49.74,-120.25,17.6* ,3.0ML ,35 km NE of Princeton
2/13/10,2:47:04,78.88,-93.28,18.0g ,3.9ML ,195 km SW from Eureka
2/11/10,1:40:47,50.72,-130.45,10.0g ,3.3Mw ,214 km W of Pt. Hardy
2/10/10,4:10:11,64.66,-138.69,10.0g ,3.8ML ,75 km NE of Dawson
2/9/10,19:34:32,48.87,-129.14,10.0g ,3.0Mw ,237 km W of Tofino
2/9/10,15:46:47,68.18,-54.07,18.0g ,4.3ML ,Western Greenland. 
2/9/10,10:46:38,62.74,-60.38,18.0g ,4.1ML ,LABRADOR SEA SEISMIC ZONE. 
2/8/10,5:40:43,59.6,-138.85,10.0g ,3.0ML ,49 km ENE of Yakutat
2/8/10,1:48:30,66.27,-133.43,1.0g ,3.0ML ,137 km SE of Fort McPherson
2/7/10,13:06:10,60.11,-134.09,20.0g ,3.3ML ,89 km ESE of Whitehorse
2/7/10,6:35:49,50.28,-130.22,10.0g ,3.1Mw ,203 km W of Pt. Hardy
2/6/10,11:46:28,72.82,-94.7,18.0g ,3.0MN ,90 km N from Fort Ross
2/6/10,11:08:08,58.3,-137.86,1.0g ,3.0ML ,145 km ESE of Yakutat
2/6/10,3:49:47,46.01,-65.69,5.0g ,3.2MN ,39 km NW from Sussex
2/6/10,1:35:13,48.98,-129.09,10.0g ,3.3Mw ,225 km SW of Pt. Hardy
2/3/10,9:26:22,49.49,-129.79,10.0g ,3.1Mw ,216 km WSW of Pt. Hardy
2/3/10,8:11:10,49.48,-129.89,10.0g ,3.0Mw ,223 km WSW of Pt. Hardy
2/3/10,6:10:34,49.43,-129.84,10.0g ,3.0Mw ,223 km WSW of Pt. Hardy
2/2/10,17:46:00,49.33,-129.5,10.0g ,3.1Mw ,213 km WSW of Pt. Hardy
2/2/10,17:33:39,49.25,-129.69,10.0g ,3.1Mw ,229 km WSW of Pt. Hardy
2/1/10,11:01:46,78.29,-110.84,18.0g ,3.2ML ,172 km W from Isachsen
1/31/10,14:06:24,50.97,-130.4,10.0g ,3.0Mw ,204 km WSW of Bella Bella
1/30/10,12:19:15,51.39,-130.79,10.0g ,3.1Mw ,202 km WSW of Bella Bella
1/29/10,13:50:13,62.1,-124.13,10.0g ,3.2ML ,155 km W of Fort Simpson
1/29/10,8:11:58,62.75,-126.58,5.0g ,3.3ML ,285 km S of Norman Wells
1/29/10,1:39:47,64.88,-133.5,1.0g ,3.2ML ,288 km SSE of Fort McPherson
1/28/10,21:43:04,49.22,-127.88,10.0g ,3.3Mw ,138 km WSW of Gold R.
1/27/10,16:18:58,50.48,-130.19,10.0g ,3.1Mw ,197 km W of Pt. Hardy
1/25/10,14:09:47,62.83,-128.99,1.0g ,3.1ML ,298 km SW of Norman Wells
1/25/10,13:31:56,50.54,-130.3,10.0g ,3.3Mw ,204 km W of Pt. Hardy
1/24/10,13:03:57,48.92,-129.12,10.0g ,3.7Mw ,232 km SW of Pt. Hardy
1/24/10,0:37:09,60.55,-138.27,1.0g ,3.7ML ,46 km WSW of Haines Jct.
1/23/10,10:14:12,56.26,-134.66,20.0g ,3.2ML ,97 km SE of Sitka
1/22/10,23:48:10,50.66,-130.43,10.0g ,3.2Mw ,212 km W of Pt. Hardy
1/22/10,17:45:39,48.75,-129.88,10.0g ,3.3Mw ,280 km SW of Pt. Hardy
1/22/10,8:45:25,51.25,-131.07,10.0g ,3.1Mw ,227 km WSW of Bella Bella
1/21/10,16:30:27,65,-133.78,1.0g ,3.1ML ,273 km SSE of Fort McPherson
1/21/10,12:15:42,50.6,-130.4,10.0g ,3.1Mw ,210 km W of Pt. Hardy
1/21/10,5:41:34,64.22,-130.91,5.0g ,3.0ML ,233 km WSW of Norman Wells
1/20/10,22:58:23,48.86,-129.41,10.0g ,3.5Mw ,250 km SW of Pt. Hardy
1/20/10,11:35:16,48.92,-129.42,10.0g ,3.6Mw ,244 km SW of Pt. Hardy
1/20/10,8:11:11,62.92,-128.88,1.0g ,3.2ML ,286 km SW of Norman Wells
1/20/10,7:12:02,50.31,-130.21,10.0g ,3.3Mw ,202 km W of Pt. Hardy
1/19/10,16:46:05,69.02,-59.32,18.0g ,3.2ML ,Davis Strait. 
1/18/10,21:59:28,48.08,-128.18,10.0g ,3.6Mw ,204 km WSW of Tofino
1/18/10,19:04:20,79.15,-115.44,18.0g ,3.3ML ,Arctic Ocean. 
1/15/10,17:17:19,61.43,-71.01,18.0g ,3.2MN ,50 km E from Kangiqsujuaq
1/15/10,3:32:54,65.37,-134.54,5.0g ,3.2ML ,230 km S of Fort McPherson
1/14/10,22:15:36,50.71,-130.33,10.0g ,3.3Mw ,205 km W of Pt. Hardy
